product_name,rating,review_title,review_text,review_date,country
Noise Cancelling Headphones,2,"Battery issue","Battery drains in 2 hours. Expected 20+. Disappointed.",2026-02-15,US
Noise Cancelling Headphones,5,"Amazing sound","Sound quality is excellent and very comfortable for long use.",2026-02-16,US
Smart Watch,1,"Stopped working","Screen died after 3 days. Support not responding.",2026-02-17,US
Smart Watch,4,"Good value","Great features for the price. Steps tracking is accurate.",2026-02-18,US
Robot Vacuum,3,"Okay but loud","Cleans well but it is very loud and gets stuck often.",2026-02-19,US
Wireless Earbuds,5,"Perfect fit","These earbuds fit perfectly and the sound is crystal clear. Love them!",2026-02-20,US
Wireless Earbuds,1,"Terrible quality","Broke after one week. Waste of money.",2026-02-20,US
Laptop Stand,4,"Sturdy design","Very sturdy and adjustable. Good for posture.",2026-02-21,UK
Smart Speaker,2,"Setup was nightmare","Took 2 hours to configure. Instructions unclear.",2026-02-21,CA
Smart Speaker,5,"Amazing voice recognition","Understands me perfectly even with accent. Highly recommend.",2026-02-21,AU
Gaming Mouse,3,"Good sensor but heavy","Performance is great but too heavy for long gaming sessions.",2026-02-22,US
USB-C Cable,1,"Stopped charging","Cable stopped working after 5 days. Dangerous - got very hot!",2026-02-22,US
USB-C Cable,5,"Fast charging","Charges my phone in 30 minutes. Excellent quality.",2026-02-22,US
Mechanical Keyboard,4,"Clicky and responsive","Great for typing. A bit loud for office use though.",2026-02-22,US
Portable Charger,2,"Overheating issue","Gets extremely hot when charging. Safety concern.",2026-02-22,US